RSOname,department,expTimeComm,taggedPref
Sports Analytics Society,Information Sciences,3-5 hours,Science
Sprout UIUC,Business,3-5 hours,Professional
Squirrel and Bird Watching Club,Environmental Science,3-5 hours,General
Sri Lankan Cultural Association,Miscellaneous,1-3 hours,Cultural
Steel Bridge,Computer Science,5-10 hours,Tech
Stiletto Queens,Miscellaneous,10+ hours,General
Stitching Illini,Miscellaneous,3-5 hours,Social
Strengthening and Empowering Educators of Diverse Statuses,Education,3-5 hours,General
Structural Engineers Association of Illinois Student Chapter ( SEAOI ),Miscellaneous,5-10 hours,Social
Student Affairs Sustainability,Miscellaneous,3-5 hours,General
Student Aircraft Builders,Computer Science,5-10 hours,Tech
Student Alumni Ambassadors,Miscellaneous,10+ hours,Social
Student Ambassadors of UIPD,Miscellaneous,10+ hours,General
Student Art History Association,Media,1-3 hours,Media
Student Bar Association,Miscellaneous,3-5 hours,Service
Student Basic Needs Coalition @ University of Illinois at Urbana- Champaign,Miscellaneous,5-10 hours,Service
Student Chapter of The American College of Veterinary Pathologists at Illinois,Veterinary Medicine,3-5 hours,General
Student Dietetic Association,Kinesiology,10+ hours,Health
Student Media Marketing Association,Miscellaneous,1-3 hours,General
Student Nurses’ Association,Kinesiology,3-5 hours,Health
Student Organization Resource Fee ( SORF ) Board,Miscellaneous,1-3 hours,General
Student Planning Organization,Environmental Science,10+ hours,General
Student Society for Human Resource Management,Business,10+ hours,Professional
Student Sustainability Leadership Council,Miscellaneous,3-5 hours,General
Students Consulting for Nonprofit Organizations,Business,3-5 hours,Professional
Students for Environmental Concerns,Miscellaneous,5-10 hours,General
Students for Fair Democracy,Miscellaneous,1-3 hours,General
Students Organize for Syria,Miscellaneous,5-10 hours,General
STYL Project,Environmental Science,5-10 hours,General
Sudden Cardiac-Death Awareness Research Foundation: University of Illinois at Urbana-Champaign Chapter,Kinesiology,10+ hours,Health
Supply Chain Academy,Miscellaneous,1-3 hours,General
Supply Chain Management Association an ASCM Chapter,Business,5-10 hours,Professional
Sustainable Solutions,Environmental Science,5-10 hours,General
Taiwanese American Students Club,Miscellaneous,10+ hours,Cultural
Taiwanese Student Association,Miscellaneous,5-10 hours,General
TAMID Group at Illinois,Business,3-5 hours,Professional
Tau Beta Pi Engineering Honor Society,Miscellaneous,10+ hours,General
Tau Kappa Epsilon Fraternity,Miscellaneous,10+ hours,Social
TAU SIGMA National Honor Society,Miscellaneous,10+ hours,General
Tax Advisors for the Champaign Society,Business,1-3 hours,Professional
Taylor Swift Society,Miscellaneous,3-5 hours,Social
Tea and Company,Miscellaneous,5-10 hours,Cultural
TEDxUIUC,Miscellaneous,5-10 hours,Service
TerraWing,Environmental Science,10+ hours,General
The American Chemical Society East Central Illinois Women Chemists Committee,Biology,3-5 hours,Science
The Baha’i Association at the University of Illinois,Miscellaneous,1-3 hours,General
The Blading Illini,Miscellaneous,3-5 hours,Social
The Canopy Club Connectors,Fine Arts,10+ hours,Arts
The Classics Club,Education,5-10 hours,General
The Collective Magazine,Miscellaneous,1-3 hours,General
The Commu.n.i.t.y,Miscellaneous,1-3 hours,Service
The Cooking Collective,Miscellaneous,3-5 hours,Service
The Creative Collective,Media,3-5 hours,Media
The Diabetes Link,Kinesiology,3-5 hours,Health
The Dressember Organization of the University of Illinois at Urbana Champaign,Miscellaneous,1-3 hours,General
The Fashion Network,Media,5-10 hours,Media
The Financial Planning Club at Illinois,Business,5-10 hours,Professional
The Gray Matters at the University of Illinois Urbana-Champaign,Miscellaneous,5-10 hours,General
The Hemp Club,Miscellaneous,10+ hours,General
The Hoeft Technology and Management Program Student Organization,Business,5-10 hours,Professional
The Illini Metagamers,Miscellaneous,5-10 hours,General
The Illini Swing Society,Miscellaneous,3-5 hours,General
The Illinois Alt. Protein Project,Environmental Science,10+ hours,General
The Illinois Student Undergraduate Research Journal,Education,10+ hours,General
The Kat Walk,Fine Arts,10+ hours,Arts
The King’s Guard,Miscellaneous,10+ hours,General
The Latine Social Work Organization,Miscellaneous,10+ hours,General
The National Organization of Minority Architecture Students,Miscellaneous,10+ hours,General
The National Society of Pershing Rifles,Miscellaneous,10+ hours,General
The Ortelian Society,Miscellaneous,1-3 hours,General
The Other Guys,Fine Arts,10+ hours,Arts
The Phoenix Improv Company,Fine Arts,1-3 hours,Arts
The Prancing Pearls,Fine Arts,10+ hours,Arts
The Red Shoe Foundation,Miscellaneous,5-10 hours,General
The Resurrected Poets Society International,Miscellaneous,10+ hours,General
The Scholarly Reading Circle For Economics at UIUC,Environmental Science,1-3 hours,General
The Slavic Graduate Student Association,Miscellaneous,1-3 hours,General
The Society of Art History and Fine Arts ( SAHFA ),Education,5-10 hours,General
The SODA,Miscellaneous,1-3 hours,General
The Student Chapter of the American Holistic Veterinary Medicine Association at the University of Illinois,Veterinary Medicine,10+ hours,General
The What You Will Shakespeare Company,Fine Arts,10+ hours,Arts
"The Wildlife Society, University of Illinois at Urbana-Champaign Student Chapter",Miscellaneous,5-10 hours,Service
THE5H4N Club,Miscellaneous,1-3 hours,General
Themed Entertainment Association at University of Illinois Urbana-Champaign,Miscellaneous,3-5 hours,Social
Theta Tau Professional Engineering Fraternity,Miscellaneous,5-10 hours,General
Theta Xi Fraternity,Miscellaneous,3-5 hours,General
Thomistic Institute at University of Illinois at Urbana-Champaign,Miscellaneous,1-3 hours,General
Thrive Together,Miscellaneous,10+ hours,Service
Timothy Bible Fellowship,Miscellaneous,1-3 hours,General
Track and Field Club,Miscellaneous,3-5 hours,General
Traders at Illinois,Information Sciences,10+ hours,Science
Transportation and Development Institute Graduate Student Organization,Computer Science,1-3 hours,Tech
Traveling Illini,Miscellaneous,3-5 hours,General
Triangle Fraternity,Miscellaneous,1-3 hours,Service
True Vine,Miscellaneous,5-10 hours,General
TRUTH AND BEAUTY,Fine Arts,5-10 hours,Arts
Turkish Student Association,Miscellaneous,10+ hours,General
Turning Point USA,Miscellaneous,10+ hours,General
TVC College,Miscellaneous,1-3 hours,General
Twin City Bible Church Students Organization,Miscellaneous,1-3 hours,General
Tzu Chi Collegiate Association,Miscellaneous,3-5 hours,General
Udaan,Miscellaneous,5-10 hours,Cultural
UIUC Contract Bridge,Information Sciences,5-10 hours,Science
UIUC Fataaka,Miscellaneous,1-3 hours,Cultural
Ukrainian Student Association,Miscellaneous,10+ hours,Cultural
Undergraduate History Journal at Illinois,Miscellaneous,5-10 hours,General
Undergraduate Law Review at the University of Illinois at Urbana-Champaign,Law,3-5 hours,General
Undergraduate Neuroscience Society,Kinesiology,1-3 hours,Health
Undergraduate Pre-PhD Society,Education,5-10 hours,General
Undergraduate Psychology Association,Psychology,1-3 hours,Science
Undergraduate Research in Scientific Advancement,Biology,3-5 hours,Science
UNICEF at UIUC,Miscellaneous,1-3 hours,General
United Greek Council,Miscellaneous,1-3 hours,Service
University YMCA Student Board,Miscellaneous,3-5 hours,Service
Varsity Men’s Glee Club at the University of Illinois,Fine Arts,3-5 hours,Arts
VAW Global Veterinary Outreach,Agricultural Sciences,3-5 hours,General
Velocity Dance,Fine Arts,3-5 hours,Arts
Venture Capital Association,Business,10+ hours,Professional
Veterinarians as One Inclusive Community for Empowerment,Miscellaneous,1-3 hours,General
Video Game Music Club,Fine Arts,3-5 hours,Arts
Vietnamese Student Association,Miscellaneous,5-10 hours,Cultural
Virtual Reality Club at UIUC,Computer Science,10+ hours,Tech
Vis-A-Vis Tutoring,Miscellaneous,5-10 hours,General
Vitality Dance Team,Fine Arts,1-3 hours,Arts
Volunteer Illini Projects,Miscellaneous,1-3 hours,Service
weDignify-UIUC,Miscellaneous,10+ hours,General
Wesley Foundation Student Fellowship,Miscellaneous,3-5 hours,Service
WeXpress UIUC,Kinesiology,3-5 hours,Health
Women and Gender Minorites in Physics,Kinesiology,1-3 hours,Health
Women Impacting Supply Chain Excellence,Business,10+ hours,Professional
Women in Aerospace,Miscellaneous,1-3 hours,Social
Women In Architecture-UIUC,Computer Science,10+ hours,Tech
Women in Chemical Sciences,Biology,5-10 hours,Science
Women in Civil and Environmental Engineering,Computer Science,1-3 hours,Tech
Women in Computer Science,Miscellaneous,1-3 hours,Cultural
Women In CyberSecurity Student Chapter,Computer Science,10+ hours,Tech
Women in Data Science Urbana-Champaign,Miscellaneous,1-3 hours,General
Women in Electrical and Computer Engineering,Computer Science,5-10 hours,Tech
Women in Mechanical Science and Engineering,Miscellaneous,1-3 hours,Social
Women in Music,Fine Arts,10+ hours,Arts
Women in Nuclear Student Chapter at the University of Illinois,Environmental Science,10+ hours,General
Women in Psychology,Education,5-10 hours,General
Women in Statistics,Miscellaneous,5-10 hours,General
Women of Color,Miscellaneous,3-5 hours,Cultural
Women of Pride,Education,3-5 hours,General
Women’s Glee Club,Fine Arts,1-3 hours,Arts
Women’s Resources Center ( WRC ),Miscellaneous,5-10 hours,General
Women’s Undergraduate Law Society,Law,5-10 hours,General
WPGU-FM 107.1,Media,5-10 hours,Media
Wrapsody Dance Co.,Fine Arts,5-10 hours,Arts
Wrestling Club at University of Illinois,Miscellaneous,5-10 hours,General
Writers Organizing Realistic Dialect,Kinesiology,1-3 hours,Health
Written Arts and Media Club,Media,3-5 hours,Media
Xtension Chords A Cappella,Fine Arts,1-3 hours,Arts
Yarn and Unity,Miscellaneous,1-3 hours,Cultural
Young Americans for Freedom,Miscellaneous,1-3 hours,General
"Young Americans for Solidarity, UIUC",Miscellaneous,1-3 hours,General
Young Democratic Socialists of America,Miscellaneous,3-5 hours,General
Youth Sports Relief Team,Miscellaneous,10+ hours,General
Yu-Gi-Oh Illini,Miscellaneous,3-5 hours,Social
Zero2One,Business,5-10 hours,Professional
Zeta Phi Beta,Miscellaneous,10+ hours,Service
Zeta Psi Fraternity,Miscellaneous,5-10 hours,Social
Zindaa UIUC,Miscellaneous,3-5 hours,General
